,sentence,subject_entity,object_entity,label,file_name,sent_idx,id
0,흙 또는 토양(土壤)은 암석이나 동식물의 유해가 오랜 기간 침식과 풍화를 거쳐 생성된 땅을 구성하는 물질이다.,"{'word': '흙', 'start_idx': 0, 'end_idx': 0, 'type': 'RES'}","{'word': '토양', 'start_idx': 5, 'end_idx': 6, 'type': 'RES'}",res:alter_name,"('흙.txt', 'aJsku6MJ1m_p5ApaGJwqnBtchlVq-_.txt.ann.json')",0,0
1,일반적으로 말하는 여러 가지 토양 구성 물질은 그 크기에 따라 구분되는데 대개 모래는 알갱이가 커서 물 빠짐이 좋다고 흔히들 말한다.,"{'word': '모래', 'start_idx': 129, 'end_idx': 130, 'type': 'RES'}","{'word': '토양 구성 물질', 'start_idx': 101, 'end_idx': 108, 'type': 'RES'}",res:parent_con,"('흙.txt', 'aJsku6MJ1m_p5ApaGJwqnBtchlVq-_.txt.ann.json')",2,1
2,"원칙적으로 자갈은 지름이 2mm 이상인 알갱이를 말하며, 모래는 2∼1/16mm까지를 말하고, 진흙은 1/16mm 이하로 본다.","{'word': '자갈', 'start_idx': 226, 'end_idx': 227, 'type': 'RES'}","{'word': '2mm', 'start_idx': 234, 'end_idx': 236, 'type': 'NOH'}",res:feature,"('흙.txt', 'aJsku6MJ1m_p5ApaGJwqnBtchlVq-_.txt.ann.json')",5,2
3,토양은 농작물 재배와 삼림 성립의 기본 수단이다.,"{'word': '농작물 재배', 'start_idx': 324, 'end_idx': 329, 'type': 'PHE'}","{'word': '토양', 'start_idx': 320, 'end_idx': 321, 'type': 'RES'}",phe:influence,"('흙.txt', 'aJsku6MJ1m_p5ApaGJwqnBtchlVq-_.txt.ann.json')",7,3
4,토양은 암석의 풍화작용에 의해 이룬 물질을 모재(母材)로 하여 이것에 기후·식피(植被)·지표의 기복 등 여러 생성 인자(因子)가 작용하여 긴 세월에 걸쳐 생성된 것이다.,"{'word': '암석', 'start_idx': 352, 'end_idx': 353, 'type': 'RES'}","{'word': '풍화작용', 'start_idx': 356, 'end_idx': 359, 'type': 'PHE'}",res:influence,"('흙.txt', 'aJsku6MJ1m_p5ApaGJwqnBtchlVq-_.txt.ann.json')",8,4
5,"대한민국의 토양은 국토를 구성한 물질의 거의 대부분이 고기암층(古期岩層)이고 비는 여름에 집중되는 이외에 호우성 강우로 말미암아 침식이 성한 반면, 정적토(定積土)가 많기 때문에 모암(母岩)의 성질을 현저하게 나타내고 있고, 또 유기질이 적다.","{'word': '침식', 'start_idx': 515, 'end_idx': 516, 'type': 'PHE'}","{'word': '호우성 강우', 'start_idx': 502, 'end_idx': 507, 'type': 'PHE'}",phe:influence,"('흙.txt', 'aJsku6MJ1m_p5ApaGJwqnBtchlVq-_.txt.ann.json')",9,5
6,"대한민국의 토양은 국토를 구성한 물질의 거의 대부분이 고기암층(古期岩層)이고 비는 여름에 집중되는 이외에 호우성 강우로 말미암아 침식이 성한 반면, 정적토(定積土)가 많기 때문에 모암(母岩)의 성질을 현저하게 나타내고 있고, 또 유기질이 적다.","{'word': '국토', 'start_idx': 453, 'end_idx': 454, 'type': 'RES'}","{'word': '고기암층', 'start_idx': 473, 'end_idx': 476, 'type': 'PHE'}",res:feature,"('흙.txt', 'aJsku6MJ1m_p5ApaGJwqnBtchlVq-_.txt.ann.json')",9,6
7,토양에 유기질이 적은 것은 호우성 집중강우로 표토(表土)의 비료성분이 유실되는 이외에 여름에 대륙성의 서열(暑熱)이 심하여 유기질의 분해가 심한 것도 하나의 요인이 된다.,"{'word': '유기질의 분해', 'start_idx': 649, 'end_idx': 655, 'type': 'PHE'}","{'word': '대륙성의 서열', 'start_idx': 632, 'end_idx': 638, 'type': 'PHE'}",phe:influence,"('흙.txt', 'aJsku6MJ1m_p5ApaGJwqnBtchlVq-_.txt.ann.json')",10,7
8,또 대한민국의 토양은 염기성 토양이 적고 산성토양이 넓은 지역에 분포되어 있으며 더욱 남부 지방에 많다.,"{'word': '산성토양', 'start_idx': 699, 'end_idx': 702, 'type': 'RES'}","{'word': '대한민국의 토양', 'start_idx': 678, 'end_idx': 685, 'type': 'LOC'}",res:feature,"('흙.txt', 'aJsku6MJ1m_p5ApaGJwqnBtchlVq-_.txt.ann.json')",11,8
9,"산도(酸度)가 강하면 농작물의 성장이 불량함은 물론이며, 따라서 수확률이 낮아지고 몹시 심한 경우에는 폐경(廢耕)을 하게 된다.","{'word': '수확률', 'start_idx': 771, 'end_idx': 773, 'type': 'PHE'}","{'word': '산도', 'start_idx': 735, 'end_idx': 736, 'type': 'PHE'}",phe:influence,"('흙.txt', 'aJsku6MJ1m_p5ApaGJwqnBtchlVq-_.txt.ann.json')",12,9
